
Jo PRO^1^SG
àls PRO^Q
vos PRO^RFL^2^PL
responem VBPI^1^PL
que C
nostre D^POS
seyor N
lo D
rey N
és VBPI^3^SG
jove ADJ
, COMMA
que C
no NEG
ha VBPI^3^SG
més ADV
de P
·xxi· NUM
any N
, COMMA
e CONJ
aquesta D^DEM
és VBPI^3^SG
la D
primera ADJ^Q
cosa N
gran ADJ
que C
él PRO^3^SG
ha VBPI^3^SG
començada VNI
; ;
e CONJ
sapiats VBI^2^PL
que C
és VBPI^3^SG
son D^POS
cor C
e CONJ
sa D^POS
voluntat N
que C
per P
re PRO^Q
del P+D
món N
no NEG
partesca VBPS^3^SG
d’ P
aquí ADV
tro P
que C
haja VBPS^3^SG
lo D
regne N
e CONJ
la D
terra N
de P
Maylorques NPR
. .

E CONJ
, COMMA
quan C
nós PRO^1^PL
li PRO^D^3^SG
ó PRO^A^NTR
conseylàssem VBDS^1^PL
, COMMA
sabem VBPI^1^PL
per P
cert ADJ
que C
él PRO^3^SG
no NEG
·n PRO^ADV
faria VBPC^3^SG
re PRO^Q
. .

E CONJ
d’ P
àls PRO^Q
podets VBPI^2^PL
parlar VB
, COMMA
e CONJ
d’ P
àls PRO^Q
parlat VNI
, COMMA
que C
açò PRO^3^SG
no NEG
és VBPI^3^SG
res PRO^Q
, COMMA
que C
él PRO^3^SG
no NEG
u PRO^A^NTR
faria VBPC^3^SG
ni CONJ+NEG
nós PRO^1^PL
no NEG
li PRO^D^3^SG
ó PRO^A^NTR
conseylaríem VBPC^1^PL
. .

E CONJ
sobre P
açò PRO^3^SG
dix VBDI^3^SG
lo D
rey N
de P
Maylorques NPR
: :
Pus C
aquestes D^DEM
paraules N
no NEG
volets VBPI^2^PL
seguir VB
que C
dites VNI
vos PRO^D^2^PL
havíem VBDI^1^PL
, COMMA
açò PRO^3^SG
li PRO^D^3^SG
faré VBFI^1^SG
jo PRO^1^SG
: :
que C
li PRO^D^3^SG
daré VBFI^3^SG
·v· NUM
besans N
de P
cada D^Q
testa N
d’ P
ome N
e CONJ
de P
fembra N
e CONJ
d’ P
infants N
, COMMA
e CONJ
desemparar VB
-li PRO^D^3^SG
ém VBPI^1^PL
la D
vila N
, COMMA
ab P
que C
él PRO^3^SG
nos PRO^D^1^PL
dó VBDI^3^SG
d’ P
aquestes D^DEM
naus N
e CONJ
d’ P
aquests D^DEM
leyns N
que C
ha VBPI^3^SG
, COMMA
ab P
què WPRO
·ns PRO^RFL^1^PL
en P
passem VBDS^1^PL
en P
Barberia NPR
, COMMA
e CONJ
aquels D^DEM
que C
volran VBFI^3^PL
romanir VB
que C
romanguen VBDI^3^PL
. .

Ab CONJ
tant D^Q
, COMMA
Don DPR
Nuno NPR
, COMMA
hoïdes VNI
les D
paraules N
que C
·l D
rey N
li PRO^D^3^SG
ach VBDI^3^SG
dites VNI
, COMMA
vench VBDI^3^SG
a P
nós PRO^1^PL
molt ADV
alegre ADJ
. .

No NEG
u PRO^A^NTR
sabé VBDI^3^SG
nuyl D^Q
hom N
sinó CONJ
él PRO^3^SG
e CONJ
l’ D
alfaquim N
, COMMA
e CONJ
dix VBDI^3^SG
-nos PRO^D^1^PL
a P
la D
oreyla N
que C
·ns PRO^D^1^PL
diria VBPC^3^SG
bones ADJ
noves N
. .

E CONJ
dixem VBDI^1^PL
nós PRO^1^PL
que C
enviaríem VBPC^1^PL
per P
los D
bisbes N
e CONJ
per P
los D
nobles N
, COMMA
que C
y PRO^ADV
fossen VBDS^3^PL
denant P
quant C
él PRO^3^SG
diria VBPC^3^SG
aqueles D^DEM
paraules N
, COMMA
e CONJ
, COMMA
pus C
a P
descobrir VB
s’ PRO^RFL^3^PL
avien VBDI^3^PL
, COMMA
que C
més ADV
valia VBDI^3^SG
que C
denant P
tots PRO^Q
ó PRO^A^NTR
dixés VBDS^3^SG
. .

E CONJ
tench VBDI^3^SG
-ho PRO^A^NTR
per P
bo ADJ
, COMMA
e CONJ
nós PRO^1^PL
enviam VBDI^1^PL
-hi PRO^ADV
; ;
e CONJ
, COMMA
mentre ADV
que C
éls PRO^3^PL
venien VBDI^3^PL
, COMMA
dix VBDI^3^SG
-nos PRO^D^1^PL
tot D^Q
lo D
feyt N
. .

E CONJ
, COMMA
quant C
éls PRO^3^PL
foren VBDI^3^PL
venguts VNI
, COMMA
dix VBDI^3^SG
-nos PRO^D^1^PL
con C
havia VBDI^3^SG
parlat VNI
ab P
lo D
rey N
de P
Maylorques NPR
e CONJ
con C
él PRO^3^SG
li PRO^D^3^SG
havia VBDI^3^SG
respost VN
; ;
mas CONJ
aquesta D^DEM
era VBDI^3^SG
la D
summa N
de P
les D
paraules N
: :
que C
él PRO^3^SG
que C
retria VBPC^3^PL
la D
vila N
e CONJ
que C
daria VBPC^3^SG
FOL46r FOL
de P
cada D^Q
una D^Q
persona N
que C
fos VBDS^3^SG
en P
la D
·v_èn· NUM
besant N
per P
testa N
e CONJ
que C
u PRO^A^NTR
auria VBPC^3^SG
deliurat VN
dins ADV
·v· NUM
dies N
, COMMA
e CONJ
que C
nós PRO^1^PL
l’ PRO^A^3^SG
en P
faéssem VBDS^1^PL
passar VB
en P
Barberia NPR
, COMMA
a P
él PRO^3^SG
e CONJ
a P
son D^POS
liynatge N
e CONJ
a P
tot D^Q
son D^POS
alberch N
d’ P
òmens N
e CONJ
de P
fembres N
; ;
e CONJ
aqueles D^DEM
naus N
o CONJ
leyns N
en P
què WPRO
éls PRO^3^PL
passarien VBPC^3^PL
, COMMA
que C
·ls PRO^A^3^PL
gitassen VBDS^3^PL
en P
terra N
, COMMA
que C
de P
tant ADV
n’ PRO^ADV
aurien VBPC^3^PL
éls PRO^3^PL
prou D^Q
que C
hom N
los D
faés VBDS^3^SG
. .

E CONJ
·l D
comte N
d’ P
Ampúries NPR
, COMMA
qui C
era VBDI^3^SG
en P
la D
ost N
, COMMA
no NEG
volch VBDI^3^SG
ésser VB
a P
negun D^Q
conseyl N
que C
nós PRO^1^PL
haguéssem VBDS^1^PL
ab P
nostres D^POS
richs ADJ
hòmens N
; ;
e CONJ
era VBDI^3^SG
en P
una D^Q
cava N
e CONJ
deÿa VBDI^3^SG
que C
nuyl D^Q
temps N
no NEG
n’ PRO^ADV
exiria VBPC^3^SG
tro P
que C
la D
vila N
fos VBDS^3^SG
presa VNI
, COMMA
e CONJ
per P
açò PRO^3^SG
no NEG
·l PRO^A^3^SG
poguem VBDI^1^PL
haver VB
a P
aquel D^DEM
conseyl N
. .

E CONJ
eren VBDI^3^PL
romases VNI
dels P+D
parents N
d’ P
En DPR
Guillem NPR
de P
Muntcada NPR
en P
Ramon NPR
Alaman NPR
e CONJ
En DPR
Guerau NPR
de P
Cerveyló NPR
, COMMA
fiyl N
d’ P
En DPR
Guillem NPR
de P
Cerveyló NPR
e CONJ
nabot N
d’ P
En DPR
Ramon NPR
Alaman NPR
, COMMA
e CONJ
En DPR
Guillem NPR
de P
Clarmunt NPR
e CONJ
·l D
bisbe N
de P
Barcelona NPR
, COMMA
qui C
era VBDI^3^SG
en P
lo D
conseyl N
, COMMA
e CONJ
·l D
bisbe N
de P
Gerona NPR
e CONJ
·l D
prebost N
de P
Terragona NPR
e CONJ
l’ D
abat N
de P
Sent ADJ
Ffeliu NPR
; ;
e CONJ
dixeren VBDI^3^PL
tots PRO^Q
al P+D
bisbe N
de P
Barçelona NPR
que C
donàs VBDS^3^SG
son D^POS
conseyl N
. .

E CONJ
respòs VBDI^3^SG
lo D
bisbe N
e CONJ
dix VBDI^3^SG
que C
gran ADJ
dan N
havien VBDI^3^PL
pres VNI
en P
aquela D^DEM
yla N
de P
tan ADV
nobles N
e CONJ
de P
tan ADV
bons ADJ
con C
aquí ADV
eren VBDI^3^PL
morts VNI
, COMMA
e CONJ
qui C
·ls PRO^A^3^PL
podia VBDI^3^SG
venjar VB
sirvén VG
a P
Déu N
, COMMA
que C
·l D
venjamén N
seria VBPC^3^SG
bo ADJ
, COMMA
mas CONJ
los D
richs ADJ
hòmens N
e CONJ
els D
cavallers N
sabien VBDI^3^PL
més ADV
de P
les D
armes N
que C
él PRO^3^SG
, COMMA
e CONJ
pus ADV
n’ PRO^ADV
avien VBDI^3^PL
usat VNI
, COMMA
e CONJ
éls PRO^3^PL
que C
y PRO^ADV
dixessen VBDS^3^PL
e CONJ
dixessen VBDS^3^PL
a P
Don DPR
Nuno NPR
que C
y PRO^ADV
dixés VBDS^3^SG
. .

E CONJ
Don DPR
Nuno NPR
dix VBDI^3^SG
en P
esta D^DEM
manera N
e CONJ
dix VBDI^3^SG
: :
barons N
, COMMA
tuyt PRO^Q
som VBPI^1^PL
venguts VNI
aquí ADV
per P
a P
servir VB
Déus N
e CONJ
nostre D^POS
seyor N
lo D
rey N
, COMMA
que C
aquí ADV
és VBPI^3^SG
; ;
e CONJ
vench VBDI^3^SG
-hi PRO^ADV
él PRO^3^SG
, COMMA
e CONJ
nós PRO^1^PL
ab P
ell PRO^3^SG
, COMMA
per P
pendre VB
Maylorques NPR
. .

E CONJ
sembla VBPI^3^SG
·m PRO^D^1^SG
que C
si C
nostre D^POS
seyor N
lo D
rey N
fa VBPI^3^SG
·l D
pleyt N
que C
li PRO^D^3^SG
parla N
lo D
rey N
de P
Maylorques NPR
, COMMA
que C
complit VNI
ha VBPI^3^SG
ço PRO^3^SG
per P
què WPRO
hich PRO^ADV
vench VBDI^3^SG
. .

E CONJ
jo PRO^1^SG
no NEG
y PRO^ADV
vul VBPI^1^PL
més ADV
dir VB
, COMMA
que C
parlador N
só VBPI^1^SG
de P
les D
noves N
, COMMA
e CONJ
vosaltres PRO^2^PL
dats VBI^2^PL
-li PRO^D^3^SG
lo D
vostre D^POS
conseyl N
. .

E CONJ
sobre P
açò PRO^3^SG
parlà VBDI^3^SG
En DPR
Ramon NPR
Alaman NPR
e CONJ
dix VBDI^3^SG
: :
Vós NPR
, COMMA
seyor N
, COMMA
passàs VBDI^3^SG
aquí ADV
, COMMA
e CONJ
nós PRO^1^PL
ab P
vós PRO^2^PL
, COMMA
per P
servir VB
a P
Déu N
; ;
e CONJ
havets VBPI^2^PL
perdut VNI
aquí ADV
, COMMA
que C
moriren VBDI^3^PL
en P
vostre D^POS
serviy N
, COMMA
tals ADJ
vassals N
, COMMA
que C
negun D^Q
rey N
no NEG
·ls PRO^A^3^PL
havia VBDI^3^SG
meylós ADJ
; ;
e CONJ
Déus N
ha VBPI^3^SG
-us PRO^D^2^PL
donat VN
temps N
que C
·ls PRO^A^3^PL
podets VBPS^2^PL
venjar VB
; ;
e CONJ
venjan VG
a P
éls PRO^3^PL
, COMMA
FOL46v FOL
haurets VBFI^2^PL
tota D^Q
la D
terra N
. .

Car C
lo D
rey N
de P
Maylorques NPR
ha VBPI^3^SG
tan ADV
gran ADJ
sen N
e CONJ
sap VBPI^3^SG
la D
terra N
de P
Maylorques NPR
, COMMA
que C
, COMMA
si C
passava VBDI^3^SG
en P
Barberia NPR
, COMMA
ab P
ço PRO^3^SG
que C
él PRO^3^SG
sabria VBPC^3^SG
dir VB
e CONJ
ab P
lo D
saber VB
que C
él PRO^3^SG
ha VBPI^3^SG
, COMMA
aduria VBPC^3^SG
tantes D^Q
de P
gents N
de P
sarraïns N
en P
aquesta D^DEM
terra N
, COMMA
que C
, COMMA
axí ADV
con C
vós PRO^2^PL
la PRO^A^3^SG
havets VBPI^2^PL
goanyada VNI
ab P
la D
ajuda N
de P
Déu N
e CONJ
de P
nós PRO^1^PL
, COMMA
e CONJ
vós PRO^2^PL
que C
no NEG
y PRO^ADV
porets VBFI^2^PL
aturar VB
, COMMA
tota D^Q
via VBDI^3^SG
que C
la PRO^A^3^SG
·ns PRO^D^1^PL
poria VBPC^3^SG
tolre VB
. .

E CONJ
, COMMA
pus C
vostre D^POS
temps N
havets VBPI^2^PL
, COMMA
venjat VBI^2^PL
-vos PRO^RFL^2^PL
d’ P
éls PRO^3^PL
, COMMA
e CONJ
aurets VBFI^2^PL
la D
terra N
, COMMA
e CONJ
puys ADV
no NEG
us PRO^D^2^PL
cal VBPI^3^SG
tembre VB
de P
Barberia NPR
. .

En DPR
Guerau NPR
de P
Cerveyló NPR
e CONJ
En DPR
Guillem NPR
de P
Clarmunt NPR
dixeren VBDI^3^PL
tots PRO^Q
a P
una D^Q
veu N
: :
Séyer N
, COMMA
per P
Déu N
vos PRO^D^2^PL
pregam VBPI^1^PL
que C
us PRO^D^2^PL
membre VBPI^3^SG
d’ P
En DPR
Guillem NPR
de P
Muntcada NPR
, COMMA
que C
tant ADV
vos PRO^A^2^PL
amava VBDI^3^SG
e CONJ
us PRO^D^2^PL
servia N
, COMMA
e CONJ
d’ P
En DPR
Ramon NPR
e CONJ
dels P+D
altres D^Q
richs ADJ
hòmens N
qui C
són VBPI^3^PL
morts VNI
ab P
éls PRO^3^PL
en P
lo D
camp N
. .

E CONJ
, COMMA
quant C
nós PRO^1^PL
haguem VBDI^1^PL
hoït VNI
lur D^POS
conseyl N
, COMMA
dixem VBDI^1^PL
-los PRO^D^3^PL
: :
Nós PRO^1^PL
a P
la D
mort N
dels P+D
richs ADJ
hòmens N
no NEG
podem VBPI^1^PL
dar VB
negun D^Q
conseyl N
, COMMA
car C
ço PRO^3^SG
que C
Déus N
vol VBPI^3^SG
ordonar VB
a P
fer VB
, COMMA
avé ADV
que C
s’ PRO^RFL^3^SG
à VBPI^3^SG
a P
complir VB
, COMMA
mas CONJ
segons ADV
que C
la D
manera N
era VBDI^3^SG
nostra D^POS
de P
venir VB
en P
aquesta D^DEM
terra N
per P
servir VB
a P
Déu N
e CONJ
per P
conquerir VB
-la PRO^A^3^SG
, COMMA
e CONJ
que C
complit VNI
havia VBDI^3^SG
Nostre D^POS
Seyor N
la D
nostra D^POS
voluntat N
, COMMA
que C
aquel D^DEM
pleyt N
se PRO^RFL^3^SG
feÿa VBDI^3^SG
per P
ço PRO^3^SG
perquè C
nós PRO^1^PL
hinc PRO^ADV
venguéssem VBDS^1^PL
per P
goanyar VB
la D
terra N
e CONJ
, COMMA
d’ P
altra D^Q
part N
, COMMA
gran ADJ
haver N
, COMMA
que C
assats ADV
semblava VBDI^3^SG
cosa N
que C
nós PRO^1^PL
deguéssem VBDI^1^PL
pendre VB
. .

Car C
aquels D^DEM
qui C
morts VNI
són VBPI^3^PL
han VBPI^3^PL
més ADV
de P
terra N
que C
nós PRO^1^PL
, COMMA
que C
han VBPI^3^PL
la D
glòria N
de P
Déu N
. .

Però P
lo D
conseyl N
que C
jo PRO^1^SG
y PRO^ADV
dó VBDI^3^SG
, COMMA
però VBDI^3^SG
salvan VG
lo D
conseyl N
que C
vós PRO^2^PL
me PRO^D^1^SG
donats VBPI^2^PL
, COMMA
lo PRO^A^3^SG
y PRO^ADV
dó VBDI^3^SG
. .

E CONJ
tot D^Q
aquel D^DEM
liynatge N
, COMMA
a P
una D^Q
vou N
, COMMA
e CONJ
·ls D
bisbes N
dixeren VBDI^3^PL
que C
més ADV
valia VBDI^3^SG
que C
·s PRO^RFL^3^SG
presés VBDS^3^SG
la D
vila N
per P
força N
que C
no NEG
pendre VB
aquel D^DEM
pleyt N
. .

E CONJ
enviam VBDI^1^PL
missatge N
al P+D
rey N
de P
Maylorques NPR
que C
faés VBDS^3^SG
ço PRO^3^SG
que C
poria VBPC^3^SG
, COMMA
e CONJ
nós PRO^1^PL
faríem VBPC^1^PL
ço PRO^3^SG
que C
poríem VBPC^1^PL
. .

E CONJ
, COMMA
quant C
aquestes D^DEM
paraules N
foren VBDI^3^PL
partides VNI
, COMMA
e CONJ
los D
sarraïns N
hagren VBDI^3^PL
sabut VNI
l’ D
ardit N
que C
nós PRO^1^PL
los D
tramesem VBDI^1^PL
, COMMA
anaren VBDI^3^PL
-se PRO^RFL^3^PL
espaordén VG
. .

E CONJ
, COMMA
quan C
lo D
rey N
de P
Maylorques NPR
los PRO^A^3^PL
veé VBDI^3^SG
espaordir VB
, COMMA
féu VBDI^3^SG
conseyl N
general ADJ
e CONJ
dix VBDI^3^SG
-los PRO^D^3^PL
en P
sa D^POS
algaravia N
: :
Barons N
, COMMA
ben ADV
sabets VBPI^2^PL
FOL47r FOL
vosaltres PRO^2^PL
que C
aquesta D^DEM
terra N
ha VBPI^3^SG
tenguda VNI
Miramamolí NPR
plus VNI
de P
·c· NUM
ayns N
, COMMA
e CONJ
volch VBDI^3^SG
que C
yo PRO^1^SG
fos VBDS^3^SG
seyor N
de P
vosaltres PRO^2^PL
, COMMA
e CONJ
él PRO^3^SG
a VBPI^3^SG
-la PRO^A^3^SG
tenguda VNI
a P
pesar VB
de P
chrestians ADJ
, COMMA
que C
anch ADV
negun D^Q
temps N
no NEG
gosaren VBDI^3^PL
escometre VB
aquesta D^DEM
terra N
tro P
a P
ara ADV
; ;
e CONJ
aquí ADV
havem VBPI^1^PL
nostres D^POS
moylers N
e CONJ
nostres D^POS
filles N
e CONJ
nostres D^POS
parents N
. .

E CONJ
ara ADV
dien VBDI^3^PL
-nos PRO^D^1^PL
que C
·ls PRO^A^3^PL
lexem VBDS^1^PL
la D
terra N
, COMMA
e CONJ
en P
tal ADJ
manera N
que C
siam VBPS^1^PL
lurs D^POS
catius N
; ;
e CONJ
encara ADV
dien VBDI^3^PL
-nos PRO^D^1^PL
major ADJ
cosa N
, COMMA
part P
la D
cativea N
: :
que C
·ns PRO^D^1^PL
guardaran VBDI^3^PL
nostres D^POS
muylers N
e CONJ
guardaran VBDI^3^PL
, COMMA
si C
res PRO^Q
ne PRO^ADV
trahen VBDI^3^SG
, COMMA
e CONJ
, COMMA
pus C
siam VBPS^1^PL
en P
lur D^POS
poder N
, COMMA
forçar VB
-les PRO^A^3^PL
àn VBPI^3^PL
e CONJ
fer VB
n’ PRO^ADV
àn VBPI^3^PL
a P
lur D^POS
guisa N
. .

E CONJ
jo PRO^1^SG
, COMMA
qui C
só VBPI^1^SG
vengut VNI
aquí ADV
entre P
vós PRO^2^PL
, COMMA
que C
tan ADV
dura ADJ
cosa N
soferís VBDS^1^SG
contra P
nostra D^POS
ley N
, COMMA
volria VBPC^3^SG
més ADV
haver VB
perduda VNI
la D
testa N
; ;
e CONJ
vul VBPI^1^SG
saber VB
de P
vosaltres PRO^2^PL
què WPRO
us PRO^D^2^PL
en PRO^ADV
sembla VBPI^3^SG
e CONJ
que C
me PRO^D^1^SG
·n PRO^ADV
digats VBPS^2^PL
vostre D^POS
sen N
. .

E CONJ
cridà VBDI^3^SG
tot D^Q
lo D
poble ADJ
a P
una D^Q
vou N
, COMMA
e CONJ
dixeren VBDI^3^PL
que C
més ADV
volien VBDI^3^PL
murir VB
que C
soffrir VB
tan ADV
gran ADJ
onta N
con C
aquesta D^DEM
seria VBPC^3^SG
. .

E CONJ
dix VBDI^3^SG
lo D
rey N
: :
Donchs ADV
, COMMA
pus C
jo PRO^1^SG
us PRO^A^2^PL
veg VBPI^1^SG
en P
tan ADV
bona ADJ
voluntat N
, COMMA
pensem VBPI^1^PL
-nos PRO^RFL^1^PL
de P
ben ADV
defendre VB
en P
tal ADJ
guisa N
, COMMA
que C
·i· NUM
hom MAN
vayla VBPS^3^SG
·ii· NUM
. .

E CONJ
sobre P
açò PRO^3^SG
partiren VBDI^3^PL
-se PRO^RFL^3^PL
e CONJ
tornaren VBDI^3^PL
al P+D
mur N
, COMMA
e CONJ
valia VBDI^3^SG
més ADV
·i· NUM
sarraí VBDI^3^SG
que C
·ii· NUM
no NEG
faÿen VBDI^3^PL
d’ P
abans N
. .

E CONJ
, COMMA
quant C
vench VBDI^3^SG
aenant ADV
, COMMA
a P
pochs D^Q
de P
dies N
, COMMA
dixem VBDI^1^PL
nós PRO^1^PL
a P
Don DPR
Nuno NPR
: :
Don DPR
Nuno NPR
, COMMA
sembla VBPI^3^SG
·m PRO^D^1^SG
que C
·ls D
nostres D^POS
richs ADJ
hòmens N
no NEG
volrien VBPC^3^PL
haver VB
donat VN
lo D
conseyl N
que C
l’ D
altre D^Q
dia N
donaren VBDI^3^PL
, COMMA
que C
ara ADV
volen VBPI^3^PL
lo D
pleyt N
e CONJ
de P
primer ADV
no NEG
·l PRO^3^SG
volien VBDI^3^PL
. .

E CONJ
dixem VBDI^1^PL
a P
aquels D^DEM
qui C
havien VBDI^3^PL
conseylat VN
lo D
pleyt N
: :
Què C
us PRO^A^2^PL
en PRO^ADV
sembla VBPI^3^SG
? ?
¿ ¿
no NEG
valgra VBPC^3^SG
més ADV
que C
prenguéssem VBDS^1^PL
aquel D^DEM
pleyt N
que C
·ns PRO^D^1^PL
parlaven VBDS^3^PL
, COMMA
que C
no NEG
ara ADV
que C
·s PRO^RFL^3^PL
deffenen VBDI^3^PL
bé ADV
? ?
e CONJ
calaren VBDI^3^PL
e CONJ
hagren VBDI^3^PL
vergonya N
de P
ço PRO^3^SG
que C
dit VNI
havien VBDI^3^PL
. .

E CONJ
, COMMA
quan C
vench VBDI^3^SG
al P+D
vespre N
, COMMA
vengren VBDI^3^PL
a P
nós PRO^1^PL
·ii· NUM
d’ P
aquels D^DEM
qui C
havien VBDI^3^PL
dat VNI
lo D
conseyl N
, COMMA
per P
nom N
lo D
bisbe N
de P
Barcelona NPR
e CONJ
·N DPR
Ramon NPR
Alaman NPR
e CONJ
dixeren VBDI^3^PL
-nos PRO^D^1^PL
: :
¿ ¿
Per P
què WPRO
no NEG
féts VBPI^2^PL
tornar VB
al P+D
pleyt N
que C
l’ D
altre D^Q
dia N
parlaven VBDI^3^PL
? ?
e CONJ
dixem VBDI^1^PL
-los PRO^D^3^PL
nós PRO^1^PL
: :
¿ ¿
No NEG
valguera VBPC^3^SG
més ADV
que C
laora ADV
ho PRO^A^NTR
atorgàssets VBDS^2^SG
, COMMA
que C
ara ADV
con C
me FW
deïts VBPI^2^PL
que C
jo PRO^1^SG
u PRO^A^NTR
faça VBPS^3^SG
? ?
e CONJ
dich VBPI^1^SG
-vos PRO^D^2^PL
FOL47v FOL
que C
no NEG
·m PRO^D^1^SG
semblaria VBPC^3^SG
ben ADV
feyt VNI
, COMMA
que C
, COMMA
si C
nós PRO^1^PL
los PRO^A^3^PL
movíem VBPC^1^PL
ara ADV
, COMMA
seria VBPC^3^SG
gran ADJ
flaquea N
. .

Mas CONJ
, COMMA
si C
éls PRO^3^PL
nos PRO^A^1^PL
parlaven VBDI^1^PL
lo D
pleyt N
que C
l’ D
altre D^Q
dia N
nos PRO^D^1^PL
movien VBDI^1^PL
altra D^Q
vegada N
, COMMA
tenits VBPI^2^PL
per P
bo ADJ
que C
ho PRO^A^NTR
façam VBPS^1^PL
? ?
e CONJ
dixeren VBDI^3^PL
que C
u PRO^A^NTR
tenien VBDI^3^PL
per P
bo ADJ
e CONJ
que C
u PRO^A^NTR
farien VBPC^3^PL
atorgar VB
a P
aquels D^DEM
qui C
no NEG
u PRO^A^NTR
volien VBDI^3^PL
. .

E CONJ
dixeren VBDI^3^PL
: :
Ara ADV
, COMMA
si C
éls PRO^3^PL
nos PRO^D^1^PL
envien VBDI^3^PL
missatge N
, COMMA
pus ADV
que C
ho PRO^A^NTR
tenits VBPI^2^PL
per P
bo ADJ
, COMMA
que C
ho PRO^A^NTR
farem VBFI^1^PL
e CONJ
farem VBFI^1^PL
tota D^Q
via N
ab P
conseyl N
de P
vosaltres PRO^2^PL
. .

Ab CONJ
tant D^Q
nós PRO^1^PL
nos PRO^RFL^1^PL
partim VBPI^1^PL
, COMMA
e CONJ
Nostre D^POS
Seyor N
, COMMA
qui C
és VBPI^3^SG
endreçador N
d’ P
aquels D^DEM
qui C
seguexen VBPI^3^PL
les D
sues D^POS
carreres N
, COMMA
no NEG
volgué VBDS^1^PL
que C
·s PRO^RFL^3^SG
faés VBDS^3^SG
en P
aquela D^DEM
manera N
que C
·ls D
sarraïns N
nos PRO^D^1^PL
parlaven VBDI^3^PL
e CONJ
donà VBDI^3^SG
-y PRO^ADV
meylor ADJ
remey N
. .

E CONJ
·l D
conseyl N
fo VBDI^3^SG
aytal D^DEM
: :
que C
axí ADV
con C
los D
sarraïns N
foren VBDI^3^PL
enfortits VNI
per P
la D
paraula N
del P+D
rey N
de P
Maylorques NPR
, COMMA
axí ADV
volch VBDI^3^SG
Déus N
que C
·ls D
chrestians ADJ
s’ PRO^RFL^3^PL
enfortiren VBPC^3^PL
e CONJ
els D
sarraïns N
s’ PRO^RFL^3^PL
anaren VBDI^3^PL
aflaquén VG
. .

E CONJ
faeren VBDI^3^PL
-se PRO^RFL^3^PL
les D
caves N
, COMMA
mas CONJ
totes PRO^Q
les PRO^A^3^PL
desempararen VBDI^3^PL
a P
la D
derreria N
, COMMA
sinó CONJ
aquela D^DEM
que C
anava VBDI^3^SG
sobre P
terra N
, COMMA
e CONJ
en P
aquela D^DEM
metem VBDI^1^PL
nostra D^POS
punya N
tant ADV
fort ADV
, COMMA
que C
a P
pesar VB
d’ P
éls PRO^3^PL
se PRO^RFL^3^SG
féu VBDI^3^SG
. .

Ab CONJ
tant D^Q
, COMMA
lo D
quart ADJ
dia N
ans ADV
que C
l’ D
envayr VB
de P
la D
ciutat N
se PRO^RFL^3^SG
faés VBDS^3^SG
, COMMA
fo VBDI^3^SG
acort N
de P
nós PRO^1^PL
e CONJ
dels P+D
nobles N
e CONJ
dels P+D
bisbes N
que C
faessen VBDS^3^PL
conseyl N
general ADJ
e CONJ
que C
en P
aquel D^DEM
conseyl N
jurassen VBDS^3^PL
tots PRO^Q
sobre P
los D
sants N
Evangelis NPR
e CONJ
la D
crou N
de P
Déu N
que C
, COMMA
a P
l’ D
entrar VB
de P
Maylorques NPR
, COMMA
quant C
s’ PRO^RFL^3^SG
envahiria VBPC^3^SG
, COMMA
negun D^Q
rich ADJ
hom N
ni CONJ+NEG
cavaller N
ni CONJ+NEG
hom N
de P
peu N
, COMMA
que C
negú PRO^Q
no NEG
tornàs VBDS^3^SG
atràs ADV
, COMMA
pus ADV
fos VBDS^3^SG
mogut VNI
per P
anar VB
entrar VB
en P
la D
ciutat N
, COMMA
e CONJ
que C
no NEG
s’ PRO^RFL^3^SG
aturàs VBDS^3^SG
, COMMA
si C
, COMMA
donchs CONJ
, COMMA
no NEG
havia VBDI^3^SG
colp N
mortal ADJ
. .

E CONJ
, COMMA
si C
havia VBDI^3^SG
colp N
mortal ADJ
, COMMA
e CONJ
negun D^Q
seu D^POS
parent N
hi PRO^ADV
fos VBDS^3^SG
de P
prop P
ni CONJ+NEG
negun D^Q
hom N
de P
la D
ost N
, COMMA
que C
l’ D
acostàs VBDS^3^SG
a P
una D^Q
part N
o CONJ
a P
algun D^Q
logar N
en P
què WPRO
s’ PRO^RFL^3^SG
arimàs VBDS^3^SG
; ;
e CONJ
que C
anassen VBDS^3^PL
aenant ADV
entran VG
-se PRO^RFL^3^PL
·n PRO^ADV
en P
la D
vila N
per P
força N
e CONJ
no NEG
tornan VG
la D
testa N
ni CONJ+NEG
lo D
cors N
atràs ADV
; ;
e CONJ
qui C
d’ P
altra D^Q
manera N
ho PRO^A^NTR
faÿa VBDI^3^SG
que C
fos VBDS^3^SG
traÿdor ADJ
, COMMA
axí ADV
con C
aquels D^DEM
qui C
maten VBPI^3^PL
lur D^POS
seyor N
. .

E CONJ
en P
aquela D^DEM
jura N
volguem VBDI^1^PL
nós PRO^1^PL
jurar VB
axí ADV
con C
éls PRO^3^PL
juraven VBDI^3^PL
, COMMA
FOL48r FOL
e CONJ
deffeneren VBDI^3^PL
-nos PRO^D^1^PL
-ho PRO^A^NTR
los D
nobles N
, COMMA
que C
nós PRO^1^PL
no NEG
juràssem VBDS^1^PL
; ;
mas CONJ
dixem VBDI^1^PL
-los PRO^D^3^PL
que C
en P
aquela D^DEM
manera N
ho PRO^A^NTR
