-DOCSTART- 0
son D^POS 
hereu N 
, PUNC 
fóssem VBDS^1^PL 
seyor N 
de P 
Montpestler NPR 
. .

E CONJ 
tengren VBDI^3^PL 
tant ADV 
son D^POS 
pleyt N 
denant P 
l’ D 
apostoli N 
, PUNC 
que C 
·ls PRO^D^3^PL 
donà VBDI^3^SG 
per P 
sentència N 
&L PUNC 
- PUNC 
sí ADV 
que C 
n’ PRO^ADV 
í PRO^ADV 
ach VBDI^3^SG 
decretal N 
escrita VNI 
que C 
la D 
sentència N 
de P 
l’ D 
apostoli N 
] PUNC 
&L+ PUNC 
que C 
jutjava VBPC^2^SG 
aquels D^DEM 
qui C 
eren VBDI^3^PL 
fiyls N 
d’ P 
En DPR 
Guillem NPR 
de P 
Montpestler NPR 
e CONJ 
de P 
Na DPR 
Agnès N 
que C 
no NEG 
eren VBDI^3^PL 
de P 
leyal ADJ 
conjugi N 
, PUNC 
car C 
eren VBDI^3^PL 
feyts N 
en P 
aulteri N 
, PUNC 
havèn VG 
altra D^Q 
muyler N 
. .

E CONJ 
jutjà VBDI^3^SG 
que C 
Montpesler NPR 
FOL3v FOL 
fos VBDS^3^SG 
de P 
la D 
reyna N 
Dona DPR 
Maria NPR 
e CONJ 
de P 
nós PRO^1^PL 
, PUNC 
qui C 
érem VBDI^1^PL
son D^POS 
fiyl N 
. .

&// PUNC 
§ PUNC 
Ara ADV 
comptarem VBFI^1^PL 
en P 
qual C 
manera N 
nós PRO^1^PL 
fom VBDI^1^PL
engenrats VNI 
e CONJ 
en P 
qual C 
manera N 
fo VBDI^3^SG 
lo D 
nostre D^POS 
neximent N 
. .

Primerament ADV 
en P 
qual C 
manera N 
fom VBDI^1^PL
engenrats VNI 
nós PRO^1^PL 
. .

Nostre D^POS 
pare N 
, PUNC 
lo D 
rey N 
En DPR 
Pere NPR 
, PUNC 
no NEG 
volia VBDI^3^SG 
veser VB 
nostra D^POS
mare N 
, PUNC 
la D 
reyna N 
. .

E CONJ 
esdevench VBPI^3^SG 
-se PRO^RFL^3^SG
que C 
·i_a· D 
vegada N 
lo D 
rey N 
, PUNC 
nostre D^POS 
pare N 
, PUNC 
fo VBDI^3^SG 
en P 
Lates NPR 
, PUNC 
e CONJ 
la D 
reyna N 
, PUNC 
nostra D^POS
mare N 
, PUNC 
fo VBDI^3^SG 
en P 
Miravals NPR 
. .

E CONJ 
vench VBDI^3^SG 
al P+D 
rey N 
·i· NUM 
rich ADJ 
hom N 
, PUNC 
per P 
nom N 
En DPR 
Guillem NPR 
d’ P 
Alcalà NPR 
, PUNC 
e CONJ 
pregà VBPI^3^SG 
·l PRO^A^3^SG 
tant ADV 
que C 
·l PRO^A^3^SG 
féu VBDI^3^SG 
venir VB 
a P 
Miravals NPR 
, PUNC 
on C 
era VBDI^3^SG
la D 
reyna N 
, PUNC 
nostra D^POS
mare N 
. .

E CONJ 
aquela D^DEM 
nuyt N 
que C 
abdós P 
foren VBDI^3^PL 
a P 
Miravals NPR 
volch VBDI^3^SG 
Nostre D^POS 
Seyor N 
que C 
nós PRO^1^PL 
fóssem VBDS^1^PL 
engenrats VNI 
. .

E CONJ 
quan C 
la D 
reyna N 
, PUNC 
nostra D^POS
mare N 
, PUNC 
se PRO^RFL^3^SG
sentí VBDI^3^SG 
prenys ADJ 
, PUNC 
entrà VBDI^3^SG 
-se PRO^RFL^3^SG
·n PRO^ADV 
a P 
Montpesler NPR 
. .

E CONJ 
aquí ADV 
volch VBDI^3^SG 
Nostre D^POS 
Seyor N 
que C 
fos VBDS^3^SG 
lo D 
nostre D^POS 
naximent N 
en P 
casa N 
d’ P 
aquels D^DEM 
de P 
Tornamira NPR 
, PUNC 
la D 
vespra N 
de P 
Nostra D^POS 
Dona DPR 
Sancta ADJ 
Maria NPR 
Candaler N 
. .

nostra D^POS
mare N 
, PUNC 
sempre ADV 
que C 
nós PRO^1^PL 
fom VBDI^1^PL
nats VNI 
, PUNC 
envià VBDI^2^SG 
·ns PRO^D^1^PL 
a P 
Sancta ADJ 
Maria NPR 
, PUNC 
e CONJ 
portaren VBDI^3^PL 
-nos PRO^A^1^PL 
en P 
los D 
braces N 
; ; 
e CONJ 
deÿen VBDI^3^PL 
matines N 
en P 
la D 
església N 
de P 
Nostra D^DEM 
Dona DPR 
; ; 
e CONJ 
, PUNC 
tantost ADV 
con C 
nos PRO^A^1^PL 
meseren VBDI^1^PL 
pel P+D 
portal N 
, PUNC 
cantaren VBDI^3^PL 
&LL PUNC 
Te FW 
Deum FW 
laudamus FW 
&LT PUNC 
. .

E CONJ 
no NEG 
sabien VBDI^1^PL 
los D 
clergues N 
que C 
nós PRO^1^PL 
deguéssem VBDI^1^PL 
entrar VB 
allí ADV 
, PUNC 
mas CONJ 
entram VBDI^1^PL 
quant C 
cantaven VBDI^3^PL 
aquel D^DEM 
càntich N 
. .

E CONJ 
puys ADV 
levaren VBDI^3^PL 
-nos PRO^A^1^PL 
a P 
Sent ADJ 
Fermí NPR 
. .

E CONJ 
, PUNC 
quant C 
aquels D^DEM
qui C 
·ns PRO^A^1^PL 
portaven VBDI^3^PL 
entraren VBDI^3^PL 
per P 
la D 
església N 
de P 
Sent ADJ 
Fermí NPR 
, PUNC 
cantaven VBDI^3^PL 
&LL FW 
Benedictus FW 
Dominus FW 
Deus FW 
Israel FW 
&LT PUNC 
. .

, PUNC 
quan C 
nos PRO^A^1^PL 
tornaren VBDI^3^PL 
a P 
la D 
casa N 
de P 
nostra D^POS
mare N 
, PUNC 
fo VBDI^3^SG 
ella PRO^3^SG 
molt ADV 
alegra ADJ 
d’ P 
aquestes D^DEM 
prenòstigues N 
que C 
·ns PRO^D^1^PL 
eren VBDI^3^PL 
esdevengudes VNI 
. .

E CONJ 
féu VBDI^3^SG 
fer VB 
·xii NUM 
· .

candeles N 
, PUNC 
totes D^Q 
de P 
·i· D 
pes N 
e CONJ 
d’ P 
una D 
granea N 
, PUNC 
e CONJ 
féu VBDI^3^SG 
-les PRO^A^3^PL 
encendre VB 
totes PRO^Q 
ensemps ADJ 
, PUNC 
e CONJ 
a P 
cada ADJ^Q 
una D 
mès VBDI^3^SG
sengles D^Q 
noms N 
dels P+D 
apòstols N 
, PUNC 
e CONJ 
promès VBDI^3^SG 
a P 
Nostre D^POS 
Seyor N 
que C 
aquela D^DEM 
que C 
pus ADV 
duraria VBPC^3^SG 
, PUNC 
que C 
aquel D^DEM 
nom N 
auríem VBPC^1^PL 
nós PRO^1^PL 
. .

E CONJ 
durà VBDI^3^SG
més ADV 
la D 
de P 
Sent ADJ 
Jacme NPR 
be ADV 
·iii· NUM 
dits N 
de P 
través N 
que C 
les D 
altres D^Q 
. .

E CONJ 
per P 
açò PRO^3^SG
e CONJ 
per P 
la D 
gràcia N 
de P 
Déu N 
havem VBPI^1^PL 
nós PRO^1^PL 
nom N 
En DPR 
Jacme NPR 
. .

així ADV 
nós PRO^1^PL 
som VBPI^1^PL 
venguts VNI 
de P 
part N 
de P 
la D 
que C 
fo VBDI^3^SG 
nostra D^POS 
mare N 
e CONJ 
del P+D 
rey N 
En DPR 
Pere NPR 
, PUNC 
nostre D^POS 
pare N 
. .

E CONJ 
sembla VBPI^3^SG 
obra N 
de P 
Déu N 
, PUNC 
car C 
les D 
covinençes N 
FOL4r FOL 
que C 
nostre D^POS 
avi N 
havia VBDI^3^SG
feytes VNI 
d’ P 
aver VB 
aquesta D^DEM 
per P 
muyler N 
, PUNC 
tornà VBDI^3^SG 
depuys ADV 
que C 
d’ P 
aquela D^DEM 
natura N 
de P 
l’ D 
emperador N 
Manuel NPR 
e CONJ 
de P 
nostre D^POS 
pare N 
, PUNC 
lo D 
rey N 
En DPR 
Pere NPR 
, PUNC 
que C 
per P 
matrimoni N 
se PRO^RFL^3^SG
cobràs VBDS^3^SG 
la D 
falida N 
que C 
en P 
l’ D 
altre D^Q 
matrimoni N 
havia VBDI^3^SG
estada VNI 
. .

E CONJ 
aenant ADV 
, PUNC 
nós PRO^1^PL 
jaén VG 
en P 
lo D 
breçol N 
, PUNC 
tiraren VBDI^3^PL 
per P 
·i_a· D 
trapa N 
sobre P 
nós PRO^1^PL 
·i· NUM 
cantal N 
, PUNC 
e CONJ 
caech VBDI^3^SG 
prop P 
del P+D 
breçol N 
, PUNC 
mas CONJ 
Nostre D^POS 
Seyor N 
nos PRO^A^1^PL 
volgué VBDS^1^PL 
estorçre VB 
que C 
no NEG 
moríssem VBDI^1^PL 
. .

Nostre D^POS 
pare N 
, PUNC 
lo D 
rey N 
En DPR 
Pere NPR 
, PUNC 
fo VBDI^3^SG 
lo D 
pus ADV 
franch ADJ 
rey N 
que C 
anch ADV 
fos VBDS^3^SG 
en P 
Espanya NPR 
e CONJ 
el D 
pus ADV 
cortès ADJ 
e CONJ 
el D 
pus ADV 
avinent ADJ 
, PUNC 
sí ADV 
que C 
tant ADV 
donava VBDI^3^SG 
, PUNC 
que C 
ses D^POS 
rendes N 
e CONJ 
ses D^POS 
terres N 
ne CONJ+NEG 
valien VBDI^3^PL 
meyns ADV
. .

E CONJ 
era VBDI^3^SG
bon ADJ 
cavaler N 
d’ P 
armes N 
, PUNC 
si C 
bo ADJ 
n’ PRO^ADV 
avia VBDI^3^SG 
e CONJ 
·l D 
món N 
. .

De P 
les D 
altres D^Q 
bones ADJ 
custumes N 
que C 
él PRO^3^SG 
havia VBDI^3^SG
no NEG 
volem VBPI^1^PL
parlar VB 
per P 
alongament N 
de P 
l’ D 
escrit N 
. .

De P 
la D 
reyna N 
Dona DPR 
Maria NPR 
, PUNC 
nostra D^POS
mare N 
, PUNC 
volem VBPI^1^PL
aytant ADV 
dir VB 
que C 
, PUNC 
si C 
bona ADJ 
dona N 
havia VBDI^3^SG
e CONJ 
·l D 
món N 
, PUNC 
que C 
ela PRO^3^SG 
ho PRO^A^NTR 
era VBDI^3^SG
en P 
tembre VB 
e CONJ 
en P 
honrar VB 
Déu N 
e CONJ 
en P 
altres D^Q 
bones ADJ 
costumes N 
que C 
en P 
ela PRO^3^SG 
eren VBDI^3^PL 
. .

E CONJ 
poríem VBPC^1^PL 
molt ADV 
de P 
be N 
dir VB 
de P 
ella PRO^3^SG 
, PUNC 
mas CONJ 
deïm VBPI^1^PL 
-ne PRO^ADV 
aytant ADV 
que C 
fa VBPI^3^SG 
compliment N 
a P 
tot D^Q 
l’ D 
àls PRO^Q 
: : 
que C 
ela PRO^3^SG 
és VBPI^3^SG 
amada VNI 
per P 
tots D^Q 
los D 
hòmens N 
del P+D 
món N 
qui C 
saben VBPI^3^PL 
de P 
sos D^POS 
captenimens N 
. .

E CONJ 
Nostre D^POS 
Seyor N 
la D 
amà VBDI^3^SG 
tant ADV 
e CONJ 
li PRO^D^3^SG 
donà VBDI^3^SG 
tanta D^Q 
de P 
gràcia N 
, PUNC 
que C 
reina N 
sancta ADJ 
és VBPI^3^SG 
clamada VNI 
per P 
aquels D^DEM 
qui C 
són VBPI^3^PL 
en P 
Roma NPR 
e CONJ 
per P 
tot D^Q 
l’ D 
altre PRO^Q 
món N 
, PUNC 
sancta ADJ 
. .

E CONJ 
guarex VBPI^3^SG 
malaltes N 
molts D^Q 
, PUNC 
can C 
beuen VBPC^3^PL 
ab P 
vi N 
o CONJ 
ab P 
aygua N 
de P 
la D 
péra N 
que C 
raen VBPI^3^PL 
del P+D 
seu D^POS 
vàs N 
. .

E CONJ 
jau VBPI^3^SG 
en P 
Roma NPR 
, PUNC 
la D 
església N 
de P 
Sent ADJ 
Pere NPR 
, PUNC 
prop P 
de P 
Sancta ADJ 
Patronilla NPR 
, PUNC 
que C 
fo VBDI^3^SG 
fiyla N 
de P 
Sent ADJ 
Pere NPR 
. .

E CONJ 
esguardat VN 
, PUNC 
aquels D^DEM 
qui C 
veurets VBPI^2^PL 
aquesta D^DEM 
scriptura N 
, PUNC 
si C 
aquesta D^DEM 
cosa N 
és VBPI^3^SG 
miraculosa ADJ 
, PUNC 
que C 
nostre D^POS 
avi N 
, PUNC 
lo D 
rey N 
Don DPR 
Amfós NPR 
, PUNC 
promès VBDI^3^SG 
que C 
seria VBPC^3^SG 
sa D^POS 
muyler N 
fiyla N 
de P 
l’ D 
emperador N 
, PUNC 
e CONJ 
depuys ADV 
près VBDI^3^SG 
la D 
reyna N 
Dona DPR 
Sanxa NPR 
. .

E CONJ 
Nostre D^POS 
Seyor N 
volch VBDI^3^SG 
que C 
per P 
aquela D^DEM 
promessa N 
que C 
·l D 
rey N 
havia VBDI^3^SG
feta VNI 
primerament ADV 
, PUNC 
ço PRO 
és VBPI^3^SG 
assaber VB 
, PUNC 
que C 
seria VBPC^3^SG 
sa D^POS 
muyler N 
la D 
fiyla N 
de P 
l’ D 
emperador N 
Manuel NPR 
, PUNC 
que C 
aquella D^DEM 
tornàs VBDS^3^SG 
en P 
son D^POS 
loch N 
. .

E CONJ 
par VBPI^1^PL 
-ho PRO^A^NTR 
en P 
açò PRO^3^SG
, PUNC 
que C 
la D 
néta N 
de P 
l’ D 
emperador N 
Manuel NPR 
fo VBDI^3^SG 
puys ADV 
FOL4v FOL 
muyler N 
de P 
nostre D^POS 
pare N 
, PUNC 
on C 
nós PRO^1^PL 
venim VBPI^1^PL 
. .

E CONJ 
per P 
açò PRO^3^SG
és VBPI^3^SG 
obra N 
de P 
Déu N 
que C 
aquella D^DEM 
covinença N 
que C 
no NEG 
·s PRO^RFL^3^SG
complí VBDI^3^SG
en P 
aquell D^DEM 
temps N 
se PRO^RFL^3^SG
complí VBDI^3^SG
depuys ADV 
, PUNC 
can C 
nostre D^POS 
pare N 
près VBDI^3^SG 
per P 
muyler N 
la D 
néta N 
de P 
l’ D 
emperador N 
. .

E CONJ 
, PUNC 
passat VNI 
lo D 
temps N 
del P+D 
nostre D^POS 
naximent N 
, PUNC 
En DPR 
Simon NPR 
de P 
Montfort NPR 
, PUNC 
qui C 
tenia VBDI^3^SG 
la D 
terra N 
de P 
Carcassès NPR 
e CONJ 
de P 
Badarrès NPR 
, PUNC 
e CONJ 
en P 
Tolçà NPR 
ço PRO 
que C 
y PRO^ADV 
havia VBDI^3^SG
goaynat VNI 
lo D 
rey N 
de P 
França NPR 
, PUNC 
volch VBDI^3^SG 
haver VB 
amor N 
ab P 
nostre D^POS 
pare N 
, PUNC 
e CONJ 
demanà VBDI^3^SG 
-li PRO^D^3^SG
que C 
·ns PRO^A^1^PL 
liuràs VBDS^3^SG 
a P 
ell PRO^3^SG 
, PUNC 
car C 
ell PRO^3^SG 
nos PRO^A^1^PL 
nodriria VBPC^3^SG 
. .

ell PRO^3^SG 
fià VBDI^3^SG 
·s PRO^RFL^3^SG
tant ADV 
en P 
él PRO^3^SG 
e CONJ 
en P 
la D 
sua D^POS 
amor N 
, PUNC 
que C 
liurà VBDI^3^SG 
ad P 
ell PRO^3^SG 
nós PRO^1^PL 
per P 
nodrir VB 
. .

E CONJ 
nós PRO^1^PL 
estan VG 
en P 
son D^POS 
poder N 
, PUNC 
les D 
géns N 
d’ P 
aqueles D^DEM 
terres N 
que C 
dessús P 
havem VBPI^1^PL 
dites VNI 
vengren VBDI^3^PL 
a P 
nostre D^POS 
pare N 
e CONJ 
dixeren VBDI^3^PL 
-li PRO^D^3^SG
que C 
él PRO^3^SG 
podia VBDI^3^SG 
ésser VB 
seyor N 
d’ P 
aqueles D^DEM 
terres N 
, PUNC 
si C 
él PRO^3^SG 
les D 
volia VBDI^3^SG 
penre VB 
ni CONJ+NEG 
emparar VB 
. .

E CONJ 
el D 
rey N 
En DPR 
Pere NPR 
, PUNC 
nostre D^POS 
pare N 
, PUNC 
era VBDI^3^SG
franch ADJ 
e CONJ 
piadós ADJ 
, PUNC 
e CONJ 
ab P 
la D 
pietat N 
que C 
a P 
él PRO^3^SG 
près VBDI^3^SG 
d’ P 
éls P 
dix VBDI^3^SG 
que C 
se PRO^RFL^3^SG
n’ PRO^ADV 
empararia VBPC^3^SG 
. .

enganaven VBDI^3^PL 
-lo PRO^A^3^PL 
ab P 
beles ADJ 
paraules N 
. .

E CONJ 
d’ P 
una D 
part N 
li PRO^D^3^SG 
ó PRO^A^NTR 
daven VBDI^3^PL 
de P 
paraula N 
e CONJ 
d’ P 
altra D^Q 
part N 
li PRO^D^3^SG 
ó PRO^A^NTR 
tolien VBDI^3^PL 
per P 
obra N 
. .

Car C 
nós PRO^1^PL 
hoïm VBDI^1^PL 
a P 
·N DPR 
Guillem NPR 
de P 
Cervera NPR 
e CONJ 
a P 
N’ DPR 
Arnau NPR 
de P 
Castelbò NPR 
, PUNC 
e CONJ 
a P 
·N DPR 
Dalmau NPR 
de P 
Crexel NPR 
, PUNC 
e CONJ 
a P 
altres PRO^Q 
qui C 
eren VBDI^3^PL 
ab P 
él PRO^3^SG 
, PUNC 
que C 
li PRO^D^3^SG 
deÿen VBDI^3^PL 
: : 
 
Sényer NPR 
, PUNC 
veus VBPI^2^SG
nostres D^POS 
castels N 
e CONJ 
nostres D^POS 
viles N 
; ; 
emparats VBI^2^PL 
-vos PRO^RFL^2^PL
-en PRO^ADV 
e CONJ 
metets VBI^2^PL 
-hi PRO^ADV 
vostres D^POS 
batles N 
. .

E CONJ 
, PUNC 
can C 
él PRO^3^SG 
ho PRO^A^NTR 
volia VBDI^3^SG 
emparar VB 
deÿen VBDI^3^PL 
-li PRO^D^3^SG
: : 
 
séyner N 
, PUNC 
¿ ¿ 
con C 
gitarets VBPI^2^PL 
nostres D^POS 
muylers N 
de P 
nostres D^POS 
maysons N 
? ?

mas CONJ 
nós PRO^1^PL 
e CONJ 
elles PRO^3^PL 
ne CONJ+NEG 
serem VBFI^1^PL 
vostres D^POS 
e CONJ 
·n PRO^ADV 
farem VBFI^1^PL 
vostra D^POS 
volentat N 
. .

E CONJ 
per P 
aquesta D^DEM 
manera N 
no NEG 
li PRO^D^3^SG 
atenien VBDI^3^PL 
re N
que C 
li PRO^D^3^SG 
promesessen VBDS^3^PL 
. .

E CONJ 
mostraven VBDI^3^PL 
-li PRO^D^3^SG
lurs D^POS 
muylers N 
e CONJ 
lurs D^POS 
fiyles N 
e CONJ 
lurs D^POS 
parentes N 
, PUNC 
les D 
pus ADV 
beles ADJ 
que C 
podien VBDI^3^PL 
trobar VB 
. .

E CONJ 
, PUNC 
quant C 
sabien VBDI^3^PL 
que C 
él PRO^3^SG 
era VBDI^3^SG
hom N 
de P 
fempnes N 
, PUNC 
tolien VBDI^3^PL 
-li PRO^D^3^SG
son D^POS 
bo ADJ 
propòsit N 
e CONJ 
feÿen VBDI^3^PL 
-lo PRO^A^3^SG 
mudar VB 
en P 
ço PRO 
que C 
éls PRO^3^PL 
volien VBDI^3^PL 
. .

E CONJ 
, PUNC 
can C 
les D 
noves ADJ 
serien VBPC^3^PL 
longues ADJ 
de P 
comtar VB 
, PUNC 
a P 
les D 
coses N 
cares ADJ 
que C 
y PRO^ADV 
foren VBDI^3^PL 
, PUNC 
no NEG 
·n PRO^ADV 
volem VBPI^1^PL
pus ADV 
parlar VB 
. .

E CONJ 
·N DPR 
Simon NPR 
de P 
Montfort NPR 
era VBDI^3^SG
en P 
Murel NPR 
bé ADV 
ab P 
·dccc· NUM 
hòmens N 
a P 
caval N 
entrò P 
en P 
·m· NUM 
, PUNC 
e CONJ 
nostre D^POS 
pare N 
vench VBDI^3^SG 
sobr’ P 
ell PRO^3^SG 
prop P 
d’ P 
aquel D^DEM 
loch N 
on C 
él PRO^3^SG 
estava VBPI^3^SG 
. .

E CONJ 
foren VBDI^3^PL 
ab P 
él PRO^3^SG 
, PUNC 
d’ P 
Aragó NPR 
, PUNC 
Don DPR 
Miquel NPR 
de P 
Lúzia NPR 
, PUNC 
e CONJ 
Don DPR 
Blascho NPR 
d’ P 
Alagó NPR 
, PUNC 
e CONJ 
Don DPR 
Rodrigo NPR 
Liçana NPR 
, PUNC 
e CONJ 
Don DPR 
Ladró NPR 
, PUNC 
e CONJ 
Don DPR 
Gomes NPR 
de P 
Luna NPR 
, PUNC 
FOL5r FOL 
e CONJ 
Don DPR 
Miquel NPR 
de P 
Rada NPR 
, PUNC 
e CONJ 
Don DPR 
Guillem NPR 
de P 
Puyo NPR 
, PUNC 
e CONJ 
Don DPR 
Açnar NPR 
Pardo NPR 
, PUNC 
et CONJ 
d’ P 
altres D^Q 
de P 
sa D^POS 
maynade N 
molts D^Q 
e CONJ 
d’ P 
altres D^Q 
qui C 
a P 
nós PRO^1^PL 
no NEG 
poden VBPI^3^PL 
membrar VB 
. .

Mas CONJ 
tant ADV 
nos PRO^D^1^PL 
membre VBPI^3^SG 
que C 
·ns PRO^D^1^PL 
dixeren VBDI^3^PL 
aquels D^DEM 
que C 
y PRO^ADV 
avien VBDI^3^PL 
estat VN 
e CONJ 
sabien VBDI^3^PL 
lo D 
feyt N 
que C 
, PUNC 
levat P 
Don DPR 
Gomes NPR 
, PUNC 
e CONJ 
Don DPR 
Miquel NPR 
de P 
Rada NPR 
, PUNC 
e CONJ 
Don DPR 
Açnar NPR 
Pardo NPR 
e CONJ 
alguns D^Q 
de P 
sa D^POS 
meynade N 
que C 
y PRO^ADV 
moriren VBDI^3^PL 
, PUNC 
que C 
·ls D 
altres D^Q 
lo PRO^A^3^SG 
desempararen VBDI^3^PL 
en P 
la D 
batayla N 
e CONJ 
se PRO^RFL^3^PL
·n PRO^ADV 
fugiren VBDI^3^PL 
-hi PRO^ADV 
de P 
Cataluyna NPR 
En DPR 
Dalmau NPR 
de P 
Crexel NPR 
, PUNC 
e CONJ 
N’ DPR 
Uch NPR 
de P 
Mataplana NPR 
, PUNC 
e CONJ 
En DPR 
Guillem NPR 
d’ P 
Orta NPR 
, PUNC 
e CONJ 
En DPR 
Bernat NPR 
dez P+D 
Castel NPR 
Bisbal NPR 
; ; 
e CONJ 
aquels D^DEM 
fugiren VBDI^3^PL 
ab P 
los D 
altres D^Q 
. .

Mas CONJ 
bé ADV 
sabem VBPI^1^PL 
per P 
cert ADJ 
que C 
Don DPR 
Nuno NPR 
Sanxes NPR 
e CONJ 
En DPR 
Guillem NPR 
de P 
Montcada NPR 
, PUNC 
que C 
fo VBDI^3^SG 
fiyl N 
d’ P 
En DPR 
Guillem NPR 
Ramon NPR 
e CONJ 
de P 
Na DPR 
Guillema NPR 
de P 
Castel NPR 
Viy NPR 
, PUNC 
no NEG 
foren VBDI^3^PL 
en P 
la D 
batayla N 
, PUNC 
ans CONJ 
enviaren VBDI^3^PL 
missatge N 
al P+D 
rey N 
que C 
·ls PRO^A^3^PL 
esperàs VBDS^3^SG 
, PUNC 
e CONJ 
·l D 
rey N 
no NEG 
·ls PRO^A^3^PL 
volch VBDI^3^SG 
esperar VB 
, PUNC 
e CONJ 
féu VBDI^3^SG 
la D 
batayla N 
ab P 
aquels D^DEM 
qui C 
eren VBDI^3^PL 
ab P 
él PRO^3^SG 
. .

E CONJ 
aquel D^DEM 
dia N 
que C 
féu VBDI^3^SG 
la D 
batayla N 
havia VBDI^3^SG
jagut VN 
ab P 
una D 
dona N 
, PUNC 
sí ADV 
que C 
nós PRO^1^PL 
hoïm VBPI^1^PL 
dir VB 
depuys ADV 
a P 
son D^POS 
reboster N 
, PUNC 
qui C 
havia VBDI^3^SG
nom N 
Gil NPR 
, PUNC 
e CONJ 
fo VBDI^3^SG 
puys ADV 
frare N 
de P 
l’ D 
Espital NPR 
, PUNC 
qui C 
havia VBDI^3^SG
estat VN 
en P 
aquel D^DEM 
conseyl N 
, PUNC 
e CONJ 
altres D^Q 
qui C 
ho PRO^A^NTR 
viren VBDI^3^PL 
per P 
sos D^POS 
uyls N 
, PUNC 
que C 
anch ADV 
a P 
l’ D 
evangeli N 
no NEG 
pòc VBDI^3^SG
estar VB 
en P 
peus N 
, PUNC 
ans CONJ 
s’ PRO^RFL^3^SG
asech VBDI^3^SG 
en P 
son D^POS 
seti N 
mentre C 
·s PRO^RFL^3^SG
deÿa VBDI^3^SG 
. .

E CONJ 
, PUNC 
ans ADV 
que C 
fos VBDS^3^SG 
la D 
batayla N 
, PUNC 
volie VBDI^2^SG 
·s PRO^RFL^3^SG
metre VB 
En DPR 
Simon NPR 
de P 
Monfort NPR 
en P 
son D^POS 
poder N 
per P 
fer VB 
sa D^POS 
volentat N 
, PUNC 
e CONJ 
volia VBDI^3^SG 
·s PRO^RFL^3^SG
avenir VB 
ab P 
él PRO^3^SG 
. .

E CONJ 
nostre D^POS 
pare N 
no NEG 
u PRO^A^NTR 
volch VBDI^3^SG 
pendre VB 
. .

E CONJ 
, PUNC 
quan C 
viren VBDI^3^PL 
açò PRO^3^SG
lo D 
comte N 
Simon NPR 
e CONJ 
aquels D^DEM 
de P 
dins ADV 
, PUNC 
preseren VBDI^3^PL 
penitència N 
e CONJ 
reeberen VBDI^3^PL 
lo D 
cors N 
de P 
Jhesuchrist NPR 
e CONJ 
dixeren VBDI^3^PL 
que C 
més ADV 
amaven VBDI^3^PL 
morir VB 
al P+D 
camp N 
que C 
en P 
la D 
vila N 
. .

E CONJ 
sobre P 
açò PRO^3^SG
, PUNC 
exiren VBDI^3^PL 
combatre VB 
ensemps ADV 
en P 
una NUM 
. .

E CONJ 
aquels D^DEM 
de P 
la D 
part N 
del P+D 
rey N 
no NEG 
saberen VBDI^3^PL 
rengar VB 
la D 
batayla N 
ni CONJ+NEG 
anar VB 
justats VNI 
, PUNC 
e CONJ 
ferien VBPC^3^PL 
cada D^Q 
un NUM 
rich ADJ 
hom N 
per P 
sí PRO^RFL^3^SG
e CONJ 
ferien VBPC^3^PL 
contra P 
natura N 
d’ P 
armes N 
. .

per P 
lo D 
mal ADJ 
ordonament N 
e CONJ 
per P 
lo D 
peccat N 
que C 
era VBDI^3^SG
en P 
ells PRO^3^PL 
, PUNC 
hac VBDI^3^SG 
-se PRO^RFL^3^SG
a P 
vençre VB 
la D 
batayla N 
, PUNC 
e CONJ 
per P 
la D 
merçè N 
que C 
no NEG 
y PRO^ADV 
trobaren VBDI^3^PL 
aquels D^DEM 
qui C 
eren VBDI^3^PL 
de P 
dins ADV 
. .

E CONJ 
aquí ADV 
morí VBDI^3^SG 
nostre D^POS 
pare N 
. .

Car C 
així ADV 
ho PRO^A^NTR 
ha VBPI^3^SG 
usat VN 
nostre D^POS 
liynatge N 
totz D^Q 
temps N 
, PUNC 
que C 
en P 
les D 
batayles N 
qu’ C 
éls PRO^3^PL 
àn VBPC^3^PL 
feytes VNI 
ne CONJ+NEG 
nós PRO^1^PL 
farem VBFI^1^PL 
, PUNC 
FOL5v FOL 
de P 
vençre VB 
o CONJ 
morir VB 
. .

E CONJ 
nós PRO^1^PL 
romanguem VBDI^1^PL 
en P 
Carcassona NPR 
en P 
poder N 
del P+D 
comte N 
, PUNC 
car C 
él PRO^3^SG 
nos PRO^A^1^PL 
nodria VBPC^3^SG 
e CONJ 
tenia VBDI^3^SG 
aquel D^DEM 
loch N 
. .

E CONJ 
puys ADV 
, PUNC 
passat VNI 
açò PRO^3^SG
, PUNC 
demanaren VBDI^3^PL 
-nos PRO^A^1^PL 
nostres D^POS 
naturals ADJ 
, PUNC 
e CONJ 
guerrejaren VBDI^3^PL 
ab P 
franceses N 
e CONJ 
ab P 
aquela D^DEM 
terra N 
que C 
ells PRO^3^PL 
tenien VBDI^3^PL 
, PUNC 
ço PRO 
és VBPI^3^SG 
assaber VB 
, PUNC 
Don DPR 
Nuno NPR 
Sanxes NPR 
e CONJ 
En DPR 
Guillem NPR 
de P 
Cardona NPR 
, PUNC 
pare N 
d’ P 
En DPR 
Ramon NPR 
Folch NPR 
. .

E CONJ 
part P 
la D 
guerra N 
que C 
ells PRO^3^PL 
faeren VBDI^3^PL 
de P 
Narbona N 
e CONJ 
