-DOCSTART- 0

E CONJ
Don DPR
Nuno NPR
respòs VBDI^3^SG
que C
pus C
él PRO^3^SG
no NEG
volia VBDI^3^SG
sa D^POS
amor N
, COMMA
que C
él PRO^3^SG
no NEG
volia VBDI^3^SG
la D
sua D^POS
. .

E CONJ
dix VBDI^3^SG
-li PRO^D^3^SG
que C
no NEG
·s PRO^RFL^3^SG
fiàs VBDS^3^SG
en P
él PRO^3^SG
, COMMA
que C
no NEG
s’ PRO^RFL^3^SG
era VBDI^3^SG
son D^POS
amich N
d’ P
esta D^DEM
hora N
a P
avant ADV
. .

E CONJ
lavores ADV
En DPR
Guillem NPR
de P
Muntcada NPR
féu VBDI^3^SG
ses D^POS
covinençes N
d’ P
amor N
ab P
Don DPR
Pero NPR
Ferrandes NPR
e CONJ
ab P
la D
partida N
sua D^POS
. .

E CONJ
Don DPR
Nuno NPR
volch VBDI^3^SG
amor N
haver VB
, COMMA
e CONJ
ach VBDI^3^SG
, COMMA
ab P
Don DPR
Fferrando NPR
e CONJ
ab P
Don DPR
Pedro NPR
Ahonés NPR
e CONJ
ab P
sa D^POS
partida N
. .

E CONJ
En DPR
Guillem NPR
de P
Muntcada NPR
e CONJ
En DPR
Pero NPR
Ferràndez NPR
ajustaren VBDI^3^PL
-se PRO^RFL^3^PL
a P
·i_a· NUM
· .

cort N
que C
nós PRO^1^PL
havíem VBDI^1^PL
manada VNI
a P
Munsó NPR
ab P
aquels D^DEM
que C
haver VB
FOL10r FOL
podíem VBDI^1^PL
. .

E CONJ
foren VBDI^3^PL
bé ADV
·ccc· NUM
cavallers N
, COMMA
e CONJ
vengren VBDI^3^PL
a P
una D^Q
vila N
del P+D
Temple NPR
que C
hom MAN
appela VBPI^3^SG
Valtarcha NPR
. .

E CONJ
Don DPR
Fferrando NPR
e CONJ
Don DPR
Pedro NPR
Ahonés NPR
ajustaren VBDI^3^PL
-se PRO^RFL^3^PL
ab P
lur D^POS
bando N
e CONJ
vengren VBDI^3^PL
a P
Casteyló NPR
del P+D
Pont ADV
, COMMA
de P
Muntsó NPR
. .

E CONJ
nós PRO^1^PL
, COMMA
qui C
veníem VBDI^1^PL
de P
Leyda NPR
per P
a P
la D
cort N
a P
Muntsó NPR
, COMMA
isqué VBDI^3^SG
·ns PRO^D^1^PL
Don DPR
Nuno NPR
a P
carrera N
e CONJ
dix VBDI^3^SG
-nos PRO^D^1^PL
que C
li PRO^D^3^SG
donàssem VBDS^1^PL
conseyl N
e CONJ
ajuda N
, COMMA
que C
, COMMA
si C
no NEG
, COMMA
el PRO^3^SG
pendria VBPC^3^SG
molt ADV
gran ADJ
onta N
o CONJ
mort N
. .

E CONJ
nós PRO^1^PL
demanam VBDI^1^PL
-li PRO^D^3^SG
quinya WADJ
onta N
seria VBPC^3^SG
aquela D^DEM
. .

E CONJ
dix VBDI^3^SG
él PRO^3^SG
: :
Séyer N
, COMMA
veus VBPI^2^SG
En DPR
Guillem NPR
de P
Muntcada NPR
qui C
ve VBPI^3^SG
e CONJ
Don DPR
Pero NPR
Ferràndez NPR
e CONJ
, COMMA
com FW
vós PRO^2^PL
sabets VBPI^2^PL
, COMMA
som VBPI^1^PL
-nos PRO^RFL^1^PL
desexits VNI
d’ P
amor N
, COMMA
yo PRO^1^SG
e CONJ
Don DPR
Guillem NPR
. .

éls PRO^3^PL
seran VBFI^3^PL
demà ADV
a P
Valcarcha NPR
, COMMA
e CONJ
vénen VBPI^3^PL
ab P
éls PRO^3^PL
bé ADV
·ccc· NUM
cavalers N
, COMMA
e CONJ
han VBPI^3^PL
volentat N
de P
moure VB
a P
mi PRO^D^1^SG
barayla N
, COMMA
e CONJ
que C
·m PRO^D^1^SG
diguen VBPS^3^PL
tal ADJ
paraula N
de P
desmentir VB
o CONJ
de P
desonrament N
, COMMA
que C
yo PRO^1^SG
no NEG
poria VBPC^3^SG
estar VB
que C
no NEG
y PRO^ADV
responés VBDS^3^SG
. .

E CONJ
, COMMA
si C
hi PRO^ADV
respon VBPC^1^SG
, COMMA
hé VBPI^1^SG
reguart N
que C
·m PRO^A^1^SG
maten VBPS^3^PL
o CONJ
que C
·m PRO^A^1^SG
facen VBPS^3^PL
tal ADJ
onta N
, COMMA
que C
valria VBPC^3^SG
·m PRO^D^1^SG
tant ADV
com C
la D
mort N
. .

E CONJ
aquela D^DEM
saó N
nós PRO^1^PL
no NEG
havíem VBDI^1^PL
sinó CONJ
·xiii· NUM
ayns N
. .

E CONJ
dixem VBDI^1^PL
-li PRO^D^3^SG
que C
·ns PRO^D^1^PL
pesaven VBDI^3^PL
molt ADV
les D
paraules N
que C
él PRO^3^SG
nos PRO^D^1^PL
deÿa VBDI^3^SG
per P
aquesta D^DEM
rahó N
: :
que C
la D
sua D^POS
onta N
tenríem VBPC^1^PL
nós PRO^1^PL
per P
nostra D^POS
, COMMA
tant ADV
de P
parentesch N
havia VBDI^3^SG
entre P
nós PRO^1^PL
e CONJ
él PRO^3^SG
. .

E CONJ
a P
aclò PRO^3^SG
que C
él PRO^3^SG
nos PRO^D^1^PL
havia VBDI^3^SG
dit VNI
dixem VBDI^1^PL
-li PRO^D^3^SG
que C
nós PRO^1^PL
sabíem VBDI^1^PL
conseyl N
que C
él PRO^3^SG
no NEG
prengués VBDS^3^SG
aquel D^DEM
mal N
ni CONJ+NEG
aquela D^DEM
onta N
. .

E CONJ
que C
u PRO^A^NTR
faríem VBPC^1^PL
en P
aquesta D^DEM
manera N
: :
que C
sempre ADV
que C
nós PRO^1^PL
fóssem VBDS^1^PL
entrats VNI
en P
Muntsó NPR
, COMMA
que C
enviaríem VBPC^1^PL
per P
los D
meylors ADJ
hòmens N
de P
la D
vila N
que C
vinguessen VBDS^3^PL
denant P
nós PRO^1^PL
, COMMA
e CONJ
que C
·ls D
diríem VBPC^1^PL
així ADV
: :
Pregam VBPI^1^PL
e CONJ
manam VBPI^1^PL
-vos PRO^D^2^PL
que C
gardets VBPI^2^PL
la D
vila N
, COMMA
e CONJ
que C
tanqués VBDS^3^PL
totes D^Q
les D
portes N
, COMMA
e CONJ
que C
y PRO^ADV
tingats VBPS^2^PL
porters N
e CONJ
hòmens N
armats ADJ
, COMMA
e CONJ
que C
no NEG
y PRO^ADV
lexets VBPS^3^SG
entrar VB
negun D^Q
rich ADJ
hom N
ni CONJ+NEG
cavaller N
, COMMA
de P
dia N
ne CONJ+NEG
de P
nuyt N
, COMMA
meyns ADV
que C
no NEG
u PRO^A^NTR
façats VBPS^2^PL
saber VB
a P
nós PRO^1^PL
; ;
e CONJ
quan C
hi PRO^ADV
entrassen VBDS^3^PL
, COMMA
entrassen VBDS^3^PL
·i· NUM
ric VBDI^3^SG
hom N
ab P
·ii· NUM
cavallers N
, COMMA
e CONJ
que C
més D^Q
no NEG
n’ PRO^ADV
acuylissen VBDI^3^PL
. .

E CONJ
així ADV
ho PRO^A^NTR
faem VBDI^1^PL
. .

E CONJ
quan C
açò PRO^3^SG
hoý VBDI^3^SG
Don DPR
Nuno NPR
, COMMA
que C
nós PRO^1^PL
ho PRO^A^NTR
faem VBDI^1^PL
tan ADV
bé ADV
, COMMA
a P
honrament N
de P
nós PRO^1^PL
e CONJ
d’ P
él PRO^3^SG
dix VBDI^3^SG
que C
·ns PRO^D^1^PL
ho PRO^A^NTR
grahia VBDI^3^SG
tant ADV
con C
él PRO^3^SG
podia VBDI^3^SG
, COMMA
que C
bé ADV
conexia VBDI^3^SG
que C
l’ PRO^A^3^SG
amàvem VBDI^1^PL
e CONJ
que C
avíem VBDI^1^PL
pres VN
tal ADJ
conseyl N
que C
l’ PRO^3^SG
havíem VBDI^1^PL
FOL10v FOL
estort VNI
d’ P
onta N
e CONJ
de P
mort N
. .

E CONJ
sobre P
açò PRO^3^SG
, COMMA
En DPR
Guillem NPR
de P
Muntcada NPR
e CONJ
Don DPR
Pero NPR
Fferràndez NPR
vengren VBDI^3^PL
ab P
tot D^Q
lur D^POS
poder N
e CONJ
no NEG
y PRO^ADV
pogren VBDI^3^PL
entrar VB
sinó CONJ
ab P
aquels D^DEM
que C
nós PRO^1^PL
havíem VBDI^1^PL
manat VN
. .

E CONJ
Don DPR
Fferrando NPR
e CONJ
Don DPR
Pero NPR
Ahonés NPR
entraren VBDI^3^PL
ab P
altres D^Q
tants D^Q
. .

E CONJ
En DPR
Guillem NPR
de P
Muntcada NPR
e CONJ
En DPR
Pero NPR
Fferràndez NPR
veeren VBDI^3^PL
que C
no NEG
podien VBDI^3^PL
acabar VB
ço PRO^3^SG
que C
·s PRO^RFL^3^SG
cuydaven VBDI^3^PL
, COMMA
e CONJ
agren VBDI^3^PL
-se PRO^RFL^3^SG
·n PRO^ADV
a P
partir VB
. .

E CONJ
sí ADV
hi PRO^ADV
ach VBDI^3^SG
altres D^Q
paraules N
que C
començaven VBDI^3^PL
ja ADV
de P
dir VB
, COMMA
mas CONJ
nós PRO^1^PL
ho PRO^A^NTR
vedam VBDI^1^PL
, COMMA
que C
·ls PRO^D^3^PL
dixem VBPI^1^PL
que C
, COMMA
si C
neguna D^Q
re N
deÿen VBDI^3^PL
a P
Don DPR
Nuno NPR
, COMMA
que C
ho PRO^A^NTR
comprarien VBPC^3^PL
. .

E CONJ
així ADV
partí VBDI^3^SG
-sse PRO^RFL^3^SG
Don DPR
Nuno NPR
per P
honrat ADJ
, COMMA
e CONJ
éls PRO^3^PL
, COMMA
falits VNI
de P
ço PRO^3^SG
que C
volien VBDI^3^PL
fer VB
. .

E CONJ
, COMMA
passat VNI
açò PRO^3^SG
, COMMA
entram VBDI^1^PL
-nos PRO^RFL^1^PL
en P
Aragó NPR
. .

E CONJ
En DPR
Guillem NPR
de P
Muntcada NPR
féu VBDI^3^SG
son D^POS
ajustament N
en P
Cathaluyna NPR
, COMMA
e CONJ
Don DPR
Nuno NPR
sabé VBDI^3^SG
-ó PRO^A^NTR
. .

E CONJ
nós PRO^1^PL
ladonchs ADV
érem VBDI^1^PL
en P
Oscha NPR
, COMMA
e CONJ
la D
reyna N
, COMMA
atretal ADV
. .

E CONJ
vench VBDI^3^SG
lo D
comte N
Don DPR
Sanxo NPR
e CONJ
Don DPR
Nuno NPR
a P
nós PRO^1^PL
e CONJ
mostraren VBDI^3^PL
-nos PRO^D^1^PL
, COMMA
denant P
la D
reyna N
, COMMA
que C
En DPR
Guillem NPR
de P
Muntcada NPR
volia VBDI^3^SG
entrar VB
en P
Rosseyló NPR
per P
fer VB
mal N
a P
él PRO^3^SG
e CONJ
dan N
en P
aquela D^DEM
terra N
que C
nostre D^POS
pare N
li PRO^D^3^SG
havia VBDI^3^SG
dada VNI
e CONJ
que C
a P
nós PRO^1^PL
devia VBDI^3^SG
tornar VB
, COMMA
e CONJ
que C
·ns PRO^D^1^PL
pregava VBDI^3^SG
e CONJ
·ns PRO^D^1^PL
clamava VBDI^3^SG
amor N
e CONJ
mercè N
, COMMA
que C
nós PRO^1^PL
que C
li PRO^D^3^SG
ajudàssem VBDS^1^PL
de P
ço PRO^3^SG
, COMMA
que C
li PRO^D^3^SG
volien VBDI^3^PL
fer VB
dan N
e CONJ
honta ADJ
: :
que C
él PRO^3^SG
ne CONJ+NEG
son D^POS
pare N
no NEG
havien VBDI^3^PL
altres D^Q
parents N
en P
Aragó NPR
ni CONJ+NEG
en P
Cathalunya NPR
de P
nós PRO^1^PL
en P
fora ADV
, COMMA
e CONJ
él PRO^3^SG
faria VBPC^3^SG
dret N
a P
tothom PRO^3^SG
que C
clams N
hagués VBDS^3^SG
d’ P
él PRO^3^SG
. .

E CONJ
açò PRO^3^SG
faén VG
ell PRO^3^SG
, COMMA
que C
nós PRO^1^PL
que C
li PRO^D^3^SG
ajudàssem VBDS^1^PL
e CONJ
que C
li PRO^D^3^SG
valguéssem VBDS^1^PL
, COMMA
que C
esta D^DEM
fe N
e CONJ
esta D^DEM
esperança N
havia VBDI^3^SG
en P
nós PRO^1^PL
. .

E CONJ
, COMMA
així ADV
con C
En DPR
Guillem NPR
de P
Muntcada NPR
havia VBDI^3^SG
parents N
e CONJ
amichs N
per P
fer VB
a P
él PRO^3^SG
mal N
, COMMA
que C
él PRO^3^SG
no NEG
havia VBDI^3^SG
altres D^Q
parents N
ni CONJ+NEG
altres D^Q
amichs N
que C
·l D
poguessen VBDS^3^PL
defendre VB
, COMMA
si C
nós PRO^1^PL
no NEG
. .

E CONJ
sempre ADV
de P
mantinent ADV
assegurà VBDI^3^SG
per P
Don DPR
Ató NPR
de P
Foces NPR
e CONJ
per P
Don DPR
Blasco NPR
Maça NPR
e CONJ
per P
ço PRO^3^SG
que C
él PRO^3^SG
tenie VBDI^3^SG
en P
Rosseyló NPR
, COMMA
que C
li PRO^D^3^SG
havia VBDI^3^SG
dat VNI
nostre D^POS
pare N
en P
sos D^POS
dies N
, COMMA
que C
él PRO^3^SG
faria VBPC^3^SG
dret N
complidament ADV
a P
·N DPR
Guillem NPR
de P
Muntcada NPR
o CONJ
a P
tot D^Q
altre D^Q
hom N
que C
clams N
agués VBDS^3^SG
d’ P
ell PRO^3^SG
. .

E CONJ
nós PRO^1^PL
, COMMA
sobre P
açò PRO^3^SG
, COMMA
enviam VBDI^1^PL
nostres D^POS
cartes N
a P
·N DPR
Guillem NPR
de P
Muntcada NPR
que C
no NEG
li PRO^D^3^SG
faés VBDS^3^SG
mal N
, COMMA
que C
él PRO^3^SG
havia VBDI^3^SG
assegurat VN
en P
poder N
de P
nós PRO^1^PL
de P
fer VB
dret N
. .

E CONJ
él PRO^3^SG
preà VBDI^3^SG
-ho PRO^A^NTR
poch ADV
e CONJ
no NEG
se PRO^RFL^3^PL
·n PRO^ADV
lexà VBDI^3^SG
, COMMA
e CONJ
entrà VBDI^3^SG
en P
Rosseyló NPR
ab P
son D^POS
liynatge N
e CONJ
près VBDI^3^SG
·i· NUM
FOL11r FOL
castel N
, COMMA
a P
escut N
e CONJ
a P
lança N
, COMMA
qui C
havia VBDI^3^SG
nom N
Avalri NPR
, COMMA
e CONJ
era VBDI^3^SG
En DPR
Jaçpert NPR
de P
Barberà NPR
laïns ADV
, COMMA
que C
s’ PRO^RFL^3^SG
í PRO^ADV
era VBDI^3^SG
mès VNI
per P
fer VB
servici N
a P
Don DPR
Nuno NPR
, COMMA
e CONJ
brocà VBDI^3^SG
als P+D
de P
la D
vila N
, COMMA
sí ADV
que C
exiren VBDI^3^PL
de P
fora ADV
. .

E CONJ
agren VBDI^3^PL
-se PRO^RFL^3^PL
a P
vençre VB
los D
de P
Perpenyà NPR
, COMMA
e CONJ
près VBDI^3^SG
En DPR
Jaspert NPR
de P
Barberà NPR
en P
aquela D^DEM
brocada N
. .

E CONJ
sobre P
les D
cartes N
que C
nós PRO^1^PL
havíem VBDI^1^PL
enviades VNI
a P
·N DPR
Guillem NPR
de P
Muntcada NPR
, COMMA
que C
no NEG
volch VBDI^3^SG
fer VB
manament N
nostre D^POS
e CONJ
féu VBDI^3^SG
mal N
a P
Don DPR
Nuno NPR
e CONJ
li PRO^D^3^SG
entrà VBDI^3^SG
en P
Rosseylló NPR
, COMMA
manam VBDI^1^PL
nostras D^POS
osts N
en P
Aragó NPR
e CONJ
anam VBDI^1^PL
sobre P
él PRO^3^SG
e CONJ
tolguem VBDI^1^PL
-li PRO^D^3^SG
·cxxx· NUM
forces N
, COMMA
entre P
torres N
e CONJ
castels N
, COMMA
a P
él PRO^3^SG
e CONJ
a P
son D^POS
liynatge N
e CONJ
a P
sos D^POS
valedors N
, COMMA
e CONJ
prenguem VBDI^1^PL
Cerveyló NPR
en P
·xiii· NUM
dies N
. .

E CONJ
, COMMA
sobre P
açò PRO^3^SG
, COMMA
anam VBDI^1^PL
assetiar VB
Muntcada NPR
. .

E CONJ
mès VBDI^3^SG
-s’ PRO^RFL^3^SG
í PRO^ADV
En DPR
Guillem NPR
de P
Montcada NPR
, COMMA
e CONJ
Don DPR
Pero NPR
Cornel NPR
, COMMA
e CONJ
Don DPR
Rodrigo NPR
Liçana NPR
, COMMA
e CONJ
Don DPR
Vales NPR
d’ P
Antilló NPR
e CONJ
En DPR
Bernat NPR
de P
Sancta ADJ
Eugènia NPR
, COMMA
frare N
d’ P
En DPR
Ponç NPR
Guillem NPR
de P
Torreela NPR
. .

E CONJ
nós PRO^1^PL
no NEG
havíem VBDI^1^PL
més ADV
de P
·xiiii· NUM
ayns N
con C
lo D
assetiam VBDI^1^PL
. .

era VBDI^3^SG
lo D
comte N
Don DPR
Sanxo NPR
ab P
nós PRO^1^PL
, COMMA
e CONJ
Don DPR
Nuno NPR
, COMMA
e CONJ
Don DPR
Fferrando NPR
, COMMA
e CONJ
Don DPR
Pero NPR
Aonés NPR
, COMMA
e CONJ
Don DPR
Ató NPR
de P
Foces NPR
, COMMA
e CONJ
Don DPR
Artal NPR
de P
Luna NPR
, COMMA
e CONJ
de P
nostra D^POS
meynada N
d’ P
Aragó NPR
. .

E CONJ
entre P
tots PRO^Q
podien VBDI^3^PL
ésser VB
·cccc· NUM
cavallers N
, COMMA
e CONJ
els D
de P
dins ADV
podien VBDI^3^PL
ésser VB
·cxxx· NUM
cavallers N
. .

E CONJ
faem VBDI^1^PL
demanar VB
a P
·N DPR
Guillem NPR
de P
Muntcada NPR
que C
·ns PRO^D^1^PL
donàs VBDS^3^SG
postat N
de P
Muntcada NPR
, COMMA
e CONJ
él PRO^3^SG
respòs VBDI^3^SG
-nos PRO^D^1^PL
que C
la D
·ns PRO^D^1^PL
donara VBPC^1^SG
volentés ADV
, COMMA
si C
d’ P
altra D^Q
manera N
la D
li PRO^D^3^SG
demanàssem VBDS^1^PL
; ;
mas CONJ
per P
ço PRO^3^SG
con C
li PRO^D^3^SG
havíem VBDI^1^PL
gran ADJ
mal N
fet VNI
quan C
veníem VBDI^1^PL
ab P
ost N
sobre P
él PRO^3^SG
, COMMA
per P
ço PRO^3^SG
deÿa VBDI^3^SG
que C
no NEG
la D
·ns PRO^D^1^PL
devia VBDI^3^SG
dar VB
; ;
e CONJ
no NEG
la D
·ns PRO^D^1^PL
donà VBDI^3^SG
. .

E CONJ
faem VBDI^1^PL
nostra D^POS
ost N
sobre P
él PRO^3^SG
en P
·i· NUM
pug N
que C
és VBPI^3^SG
sobre P
la D
vila N
en P
què WPRO
fan VBPI^3^PL
lo D
mercat N
. .

E CONJ
estiguem VBDI^1^PL
-hi PRO^ADV
bé ADV
per P
·iii· NUM
meses N
poc ADV
més ADV
o CONJ
poch ADV
meyns ADV
. .

E CONJ
, COMMA
si C
no NEG
fos VBDS^3^SG
lo D
conduyt N
que C
traýen VBDI^3^PL
de P
la D
ost N
ab P
conseyl N
dels P+D
aragoneses N
que C
eren VBDI^3^PL
ab P
nós PRO^1^PL
, COMMA
qui C
·ls PRO^D^3^PL
daven VBDI^3^PL
què WPRO
menjar VB
ab P
los D
diners N
dels P+D
aragoneses N
que C
eren VBDI^3^PL
a P
Muntcada NPR
, COMMA
los D
catalans ADJ
qui C
traÿen VBDI^3^PL
què WPRO
menjar VB
de P
Barchinona NPR
no NEG
haurien VBPC^3^PL
què WPRO
menjar VB
a P
·iii· NUM
dies N
. .

Mas CONJ
per P
la D
gran ADJ
ninea N
qui C
era VBDI^3^SG
en P
nós PRO^1^PL
no NEG
y PRO^ADV
sabíam VBDI^1^PL
dar VB
conseyl N
. .

E CONJ
per P
ço PRO^3^SG
cor C
a P
aquels D^DEM
qui C
eren VBDI^3^PL
ab P
nós PRO^1^PL
no NEG
plaÿa VBDI^3^SG
molt ADV
lo D
mal N
d’ P
aquels D^DEM
qui C
eren VBDI^3^PL
de P
dins ADV
, COMMA
levat P
lo D
comte N
Don DPR
Sanxo NPR
e CONJ
Don DPR
Pero NPR
Aonés NPR
, COMMA
e CONJ
la D
força N
que C
és VBPI^3^SG
de P
les D
meylors ADJ
d’ P
Espanya NPR
, COMMA
haguem VBDI^1^PL
-nos PRO^RFL^1^PL
a P
levar VB
del P+D
logar N
. .

E CONJ
·l D
castel N
de P
Muntcada NPR
és VBPI^3^SG
aytal D^DEM
, COMMA
FOL11v FOL
que C
havem VBPI^1^PL
aclí ADV
bon ADJ
bastiment N
, COMMA
si C
per P
fam N
no NEG
era VBDI^3^SG
, COMMA
No NEG
era VBDI^3^SG
no NEG
·s PRO^RFL^3^SG
poria VBPC^3^SG
pendre VB
per P
neguna D^Q
ost N
; ;
quar C
d’ P
aygua N
éls PRO^3^PL
n’ PRO^ADV
àn VBPC^3^PL
prou D^Q
en P
la D
costa N
del P+D
castell N
, COMMA
de P
una D^Q
font N
que C
y PRO^ADV
nex VBPI^3^SG
de P
una D^Q
part N
ves P
tramuntana NPR
, COMMA
e CONJ
nuyl D^Q
hom N
no NEG
la PRO^A^3^SG
·ls PRO^D^3^PL
pot VBPI^3^SG
tolre VB
, COMMA
si C
·l D
castel N
no NEG
pren VBPI^3^PL
. .

E CONJ
sobre P
açò PRO^3^SG
nós PRO^1^PL
fom VBDI^1^PL
en P
Aragó NPR
, COMMA
e CONJ
En DPR
Guillem NPR
de P
Muntcada NPR
ab P
son D^POS
poder N
sobre P
Terraça NPR
, COMMA
e CONJ
prengué VBDI^3^SG
tota D^Q
la D
vila N
, COMMA
del P+D
castel N
en P
fora ADV
. .

E CONJ
près VBDI^3^SG
s’ D
Arboç NPR
e CONJ
barrejà VBDI^3^SG
tota D^Q
la D
vila N
; ;
e CONJ
venc VBDI^3^SG
a P
Piera NPR
e CONJ
no NEG
la D
pòc VBDI^3^SG
pendre VB
. .

E CONJ
feren VBDI^3^PL
covinença N
entre P
él PRO^3^SG
e CONJ
Don DPR
Fferrando NPR
e CONJ
Don DPR
Pero NPR
Ahonés NPR
. .

E CONJ
entrà VBDI^3^SG
-se PRO^RFL^3^SG
·n PRO^ADV
En DPR
Guillem NPR
de P
Muntcada NPR
en P
Aragó NPR
e CONJ
vench VBDI^3^SG
-se PRO^RFL^3^SG
·n PRO^ADV
a P
Tahust NPR
, COMMA
que C
tenia VBDI^3^SG
Don DPR
Pero NPR
Ahonés NPR
de P
nós PRO^1^PL
per P
honor N
. .

E CONJ
en P
aquesta D^DEM
covinença N
lur D^POS
fo VBDI^3^SG
-hi PRO^ADV
Saragoça NPR
e CONJ
Osca NPR
e CONJ
Jaca NPR
. .

nós PRO^1^PL
érem VBDI^1^PL
en P
Aragó NPR
, COMMA
e CONJ
era VBDI^3^SG
ab P
nós PRO^1^PL
Don DPR
Nuno NPR
, COMMA
e CONJ
Don DPR
Pero NPR
Ferràndez NPR
, COMMA
e CONJ
Don DPR
Blasco NPR
d’ P
Alagó NPR
, COMMA
e CONJ
Don DPR
Artal NPR
, COMMA
e CONJ
Don DPR
Rodrigo NPR
Liçana NPR
; ;
mas CONJ
en P
Alagó NPR
no NEG
eren VBDI^3^PL
ab P
nós PRO^1^PL
, COMMA
sinó CONJ
Don DPR
Nuno NPR
, COMMA
e CONJ
Don DPR
Pero NPR
Fferrandes NPR
e CONJ
Don DPR
Ató NPR
. .

E CONJ
sobre P
açò PRO^3^SG
parlaren VBDI^3^PL
pleyt N
d’ P
amor N
entre P
Don DPR
Ferrando NPR
, COMMA
e CONJ
Don DPR
Guillem NPR
de P
Muntcada NPR
, COMMA
e CONJ
Don DPR
Pero NPR
Ahonés NPR
, COMMA
que C
fossen VBDS^3^PL
contra P
tots D^Q
hòmens N
ab P
Don DPR
Nuno NPR
e CONJ
ab P
Don DPR
Pero NPR
Ferrandes NPR
. .

E CONJ
açò PRO^3^SG
parlà VBDI^3^SG
Don DPR
Lop NPR
Xemenis NPR
de P
Lúzia NPR
, COMMA
vassal N
de P
Don DPR
Nuno NPR
, COMMA
germà N
de P
Ruy NPR
Xemenis NPR
. .

enviaren VBDI^3^PL
-nos PRO^D^1^PL
missatge N
que C
vendrien VBPC^3^PL
a P
nós PRO^1^PL
e CONJ
que C
farien VBPC^3^PL
a P
tota D^Q
nostra D^POS
voluntat N
; ;
e CONJ
havien VBDI^3^PL
-se PRO^RFL^3^PL
feytes VNI
covinences N
ab P
sagrament N
e CONJ
ab P
cartes N
; ;
e CONJ
açò PRO^3^SG
·ns PRO^D^1^PL
dix VBDI^3^SG
per P
ells PRO^3^PL
Don DPR
Nuno NPR
e CONJ
Don DPR
Pero NPR
. .

E CONJ
sobre P
açò PRO^3^SG
pregaren VBDI^3^PL
-nos PRO^D^1^PL
que C
exíssem VBDS^1^PL
reebre VB
Don DPR
Fferrando NPR
, COMMA
qui C
era VBDI^3^SG
nostre D^POS
avoncle N
, COMMA
e CONJ
En DPR
Guillem NPR
de P
Muntcada NPR
, COMMA
qui C
era VBDI^3^SG
honrat VN
hom N
, COMMA
e CONJ
Don DPR
Pero NPR
Ahonés NPR
. .

isquem VBDI^1^PL
-hi PRO^ADV
e CONJ
dixem VBDI^1^PL
-lus PRO^D^3^PL
que C
en P
dia N
d’ P
ivern N
érem VBDI^1^PL
, COMMA
e CONJ
era VBDI^3^SG
tart ADV
, COMMA
e CONJ
que C
entrassen VBDS^3^PL
ab P
·iiii· NUM
o CONJ
ab P
·v· NUM
cavalers N
, COMMA
e CONJ
les D
altres D^Q
compaynes N
, COMMA
que C
les D
enviassen VBDS^3^PL
per P
les D
aldees N
de P
fora ADV
. .

E CONJ
així ADV
, COMMA
con C
açò PRO^3^SG
dègrem VBDI^1^PL
fer VB
, COMMA
anam VBDI^1^PL
-nos PRO^RFL^1^PL
-en PRO^ADV
nós PRO^1^PL
a P
casa N
nostra D^POS
, COMMA
e CONJ
éls PRO^3^PL
romangueren VBDI^3^PL
a P
les D
portes N
de P
la D
vila N
, COMMA
que C
havien VBDI^3^PL
fetes VNI
tancar VB
. .

E CONJ
Don DPR
Nuno NPR
e CONJ
Don DPR
Pedro NPR
, COMMA
a P
qui C
havíem VBDI^1^PL
comanades VNI
les D
portes N
, COMMA
meteren VBDI^3^PL
-hi PRO^ADV
tots D^Q
quants WADJ
éls PRO^3^PL
se PRO^RFL^3^PL
FOL12r FOL
volgren VBDI^3^PL
meyns ADV
de P
sabença N
de P
nós PRO^1^PL
. .

E CONJ
entraren VBDI^3^PL
bé ADV
·cc· NUM
cavallers N
, COMMA
qui C
venien VBDI^3^PL
ab P
éls PRO^3^PL
en P
Alegó NPR
. .

E CONJ
nós PRO^1^PL
érem VBDI^1^PL
infant N
e CONJ
no NEG
havíem VBDI^1^PL
més ADV
de P
·xv· NUM
· .

ayns N
. .

E CONJ
dixeren VBDI^3^PL
a P
la D
reyna N
Dona DPR
Elienor NPR
: :
Sapiats VBI^2^PL
que C
tots D^Q
los D
cavallers N
són VBPI^3^PL
intrats VNI
qui C
venien VBDI^3^PL
ab P
Don DPR
Ferrando NPR
, COMMA
e CONJ
ab P
En DPR
Guillem NPR
de P
Muntcada NPR
, COMMA
e CONJ
ab P
En DPR
Pero NPR
Ahonés NPR
, COMMA
e CONJ
ve VBPI^3^SG
·ls PRO^A^3^PL
-vos PRO^D^2^PL
aquí ADV
en P
Alagó NPR
. .

E CONJ
nós PRO^1^PL
maraveylam VBDI^1^PL
-nos PRO^RFL^1^PL
fort ADV
d’ P
açò PRO^3^SG
, COMMA
e CONJ
demanam VBDI^1^PL
a P
aquels D^DEM
qui C
tenien VBDI^3^PL
les D
portes N
per P
nós PRO^1^PL
, COMMA
e CONJ
dixem VBDI^1^PL
-los PRO^D^3^PL
per P
què WPRO
·ls PRO^A^3^PL
havien VBDI^3^PL
lexats VNI
entrar VB
ne CONJ+NEG
qui C
·ls PRO^A^3^PL
hi PRO^ADV
havia VBDI^3^SG
meses VNI
. .

E CONJ
dixeren VBDI^3^PL
-nos PRO^D^1^PL
que C
Don DPR
Nuno NPR
e CONJ
Don DPR
Pero NPR
Fferrandes NPR
